PlateNumber,Colour,BuildType,MakeModel,YearOfManufacture,VehicleType,StolenDate,PoliceDistrict
C4UAF,Red,Znen,BIG MAX 50,2023,Moped,15/09/2025,Wellington
C4UCZ,Black,Skyteam,DAX,2002,Moped,16/11/2025,Bay of Plenty
C4UWF,Grey,Harley Davidson,V-ROD,2011,Roadbike,16/10/2025,Counties/Manukau
C4YKR,Black,Forza,CICLONE,2024,Moped,18/07/2025,Wellington
C4YZQ,Black,TNT Motor,ROMA,2024,Moped,23/10/2025,Waikato
C5HCE,Black,Harley Davidson,FAT BOB,2011,Roadbike,10/09/2025,Central
C5KMB,Black,Harley Davidson,V-ROD,2014,Roadbike,26/11/2025,Canterbury
C5KSW,Blue,Suzuki,UZ50,2022,Moped,23/10/2025,Wellington
C5KTD,Black,Kawasaki,ZR,2022,Roadbike,17/07/2025,Waitemata
C5NKN,Blue,Honda,CB,2022,Roadbike,14/06/2025,Wellington
C5RDM,Black,Harley Davidson,VRSCR,2006,Roadbike,22/11/2025,Counties/Manukau
C5SPQ,Blue,Honda,CB,2023,Roadbike,3/08/2025,Counties/Manukau
C5TKC,Black,Suzuki,DS250,2023,Roadbike,21/11/2025,Wellington
C5TQJ,Blue,Yamaha,MT03LA,2023,Roadbike,10/09/2025,Wellington
C5UDB,Black,Forza,CAPRI,2023,Moped,30/10/2025,Waikato
C5UUE,Orange,Forza,CICLONE,2024,Moped,25/10/2025,Canterbury
C5YWB,Blue,Forza,CICLONE,2024,Moped,29/06/2025,Tasman
C5ZBP,Grey,Kawasaki,ZX,2009,Roadbike,12/08/2025,Auckland City
C612W,Silver,Briford,8 X 4 TRAILER,2004,Trailer,8/10/2025,Counties/Manukau
C692R,Silver,Trailer,OWN BUILT,2004,Trailer - Heavy,1/09/2025,Canterbury
C6AAF,White,Factory Built,NIU,2017,Moped,3/12/2025,Wellington
C6AYH,Red,Factory Built,ARIIC,2020,Moped,12/10/2025,Canterbury
C6DYJ,Black,Harley Davidson,SPORTSTER,2020,Roadbike,15/09/2025,Bay of Plenty
C6EWJ,Silver,Suzuki,GSX250FRLL9,2021,Roadbike,31/10/2025,Waikato
C6FAJ,Red,Harley Davidson,FXDWG,2004,Roadbike,17/07/2025,Eastern
C6FGZ,Grey,Kawasaki,ER,2021,Roadbike,22/06/2025,Wellington
C6FSS,Red,Honda,MOTORCYCLE,2021,Moped,10/08/2025,Wellington
C6GKS,Black,Factory Built,VIVA,2021,Moped,26/11/2025,Central
C6HCL,Orange,Kubota,M7040,2021,Tractor,24/11/2025,Waitemata
C6HHR,Blue,TNT Motor,ROMA,2023,Moped,8/10/2025,Counties/Manukau
C6HKB,Silver,Yamaha,CZD300A,2021,Roadbike,30/11/2025,Counties/Manukau
C6JRD,Black,Suzuki,TU250,1995,Roadbike,23/06/2025,Waitemata
C6JZD,White,Suzuki,UZ50,2021,Moped,29/10/2025,Eastern
C6MKW,White,KTM,390,2022,Roadbike,12/07/2025,Wellington
C6NYE,Blue,Suzuki,UK,2017,Roadbike,15/07/2025,Central
C6QJT,Blue,Suzuki,UK110,2023,Roadbike,19/08/2025,Bay of Plenty
C6QUU,Red,Aprilia,SR GT SPORT 200,2023,Roadbike,9/08/2025,Waitemata
C6SMH,Green,Vespa,LXV50,2008,Moped,22/09/2025,Bay of Plenty
C6UAK,Black,TNT Motor,ROMA,2024,Moped,7/08/2025,Waikato
C6YMZ,Red,Znen,BELLA 50,2015,Moped,25/08/2025,Waikato
C6ZQZ,Black,TNT Motor,ROMA,2019,Moped,30/07/2025,Wellington
C6ZUB,Red,Honda,CT125,2024,Roadbike,13/09/2025,Canterbury
C6ZZW,Red,Moped,YB50QT-3,2024,Moped,30/10/2025,Auckland City
C739T,Silver,Trailer,HOMEMADE,1955,Trailer,7/07/2025,Canterbury
C7CBF,Red,Massey-Ferguson,7615,2020,Tractor,7/07/2025,Waikato
C7DDM,Black,Forza,CICLONE,2020,Moped,22/08/2025,Canterbury
C7DFY,Orange,Suzuki,UZ,2011,Moped,11/07/2025,Wellington
C7DKB,White,KTM,200,2020,Roadbike,5/11/2025,Auckland City
C7KGY,Red,Piaggio,ZIP,2021,Roadbike,28/07/2025,Auckland City
C7KMS,White,Honda,NSC,2022,Roadbike,3/08/2025,Auckland City
C7PMP,Red,Honda,VTR,2001,Roadbike,11/10/2025,Canterbury
C7PRU,Blue,Znen,BIG MAX 50,2023,Moped,4/12/2025,Auckland City
C7QHC,Red,Forza,CICLONE,2023,Moped,8/09/2025,Canterbury
C7RAQ,Black,Znen,BIG MAX 50,2023,Moped,23/10/2025,Canterbury
C7RFA,Grey,Yamaha,YZF-R15,2023,Roadbike,25/06/2025,Counties/Manukau
C7RMM,White,PGO,LIGERO,2023,Moped,2/12/2025,Eastern
C7TCE,Black,Factory Built,VIVA,2023,Moped,30/10/2025,Canterbury
C7UAC,Black,Forza,CICLONE,2025,Moped,29/10/2025,Waitemata
C7UFP,Black,Factory Built,YIBEN,2024,Moped,4/08/2025,Auckland City
C8ANA,Black,Kawasaki,ZZ-R,1990,Roadbike,29/08/2025,Central
C8ATR,Black,Suzuki,GN125H,2020,Roadbike,17/08/2025,Wellington
C8CGN,Blue,Suzuki,UZ50,2020,Moped,4/08/2025,Waitemata
C8CZN,Brown,Suzuki,UZ50,2020,Moped,8/08/2025,Canterbury
C8FLW,Black,Forza,CICLONE,2021,Moped,16/09/2025,Eastern
C8FZD,Blue,Factory Built,VIVA,2021,Moped,20/11/2025,Canterbury
C8KRR,White,Aprilia,SR50,2022,Moped,1/12/2025,Bay of Plenty
C8LLS,Yellow,Piaggio,TYPHOON,2022,Moped,27/11/2025,Northland
C8LRD,Black,TNT Motor,ROMA,2022,Moped,23/06/2025,Canterbury
C8MSW,Green,Kawasaki,ER,2022,Roadbike,20/11/2025,Counties/Manukau
C8NAN,Black,TNT Motor,ROMA,2022,Moped,6/11/2025,Wellington
C8PQH,Black,Kawasaki,EX,2022,Roadbike,13/08/2025,Counties/Manukau
C8QAM,Blue,Factory Built,VIVA,2023,Moped,19/07/2025,Canterbury
C8QCF,Black,Piaggio,ZIP,2010,Moped,26/11/2025,Counties/Manukau
C8QRZ,Black,Honda,PCX,2013,Roadbike,6/11/2025,Canterbury
C8QSE,Black,Suzuki,UZ50,2023,Moped,9/11/2025,Waikato
C8TYZ,Black,TNT Motor,ROMA,2023,Moped,12/10/2025,Wellington
C8UKP,Black,Harley Davidson,V-ROD,2011,Roadbike,28/07/2025,Canterbury
C9AWA,Black,Suzuki,UZ50,2016,Moped,8/06/2025,Wellington
C9BEQ,Black,Benelli,NP,2019,Moped,6/08/2025,Waikato
C9BGU,Grey,Suzuki,DR650SE,2020,Roadbike,6/10/2025,Waikato
C9DNT,Red,Honda,CB,2020,Roadbike,22/08/2025,Auckland City
C9DRK,White,Triumph,STREET TRIPLE,2008,Roadbike,24/07/2025,Waikato
C9FRH,Black,Suzuki,GSX150,2021,Roadbike,30/11/2025,Tasman
C9JHA,Silver,KTM,390,2021,Roadbike,18/10/2025,Auckland City
C9LAE,Black,TNT Motor,ROMA,2022,Moped,28/09/2025,Wellington
C9LZJ,Red,Kymco,LIKE,2022,Roadbike,22/09/2025,Auckland City
C9PMT,Red,Honda,CBR1000,2007,Roadbike,11/11/2025,Counties/Manukau
C9QEJ,Black,KTM,690,2023,Roadbike,26/08/2025,Canterbury
C9SBU,Black,Suzuki,UZ50,2023,Moped,7/11/2025,Auckland City
C9SKE,Yellow,Forza,F50,2023,Moped,16/10/2025,Central
C9WUJ,Black,TNT Motor,ROMA,2024,Moped,11/07/2025,Wellington
C9YYJ,White,KTM,390,2014,Roadbike,28/11/2025,Waikato
CAG334,Red,Ford,COURIER,2000,Utility,7/09/2025,Bay of Plenty
CAH426,Blue,Toyota,HILUX,1996,Stationwagon,5/07/2025,Auckland City
CAM141,White,Ford,COURIER,2004,Utility,5/11/2025,Southern
CAY339,White,Ford,COURIER,2004,Utility,31/07/2025,Bay of Plenty
CBC739,White,Mitsubishi,CHALLENGER,1997,Stationwagon,8/09/2025,Northland
CBN379,Silver,Toyota,CORONA,1996,Saloon,7/06/2025,Eastern
CBW544,Blue,Nissan,NAVARA,2004,Utility,29/11/2025,Central
CCA316,Green,Toyota,LANDCRUISER,1996,Stationwagon,11/09/2025,Counties/Manukau
CCR846,Green,Subaru,OUTBACK,2002,Stationwagon,11/11/2025,Central
CDD661,White,Subaru,LEGACY,1995,Saloon,3/08/2025,Counties/Manukau
CDR232,Grey,Subaru,LEGACY,1995,Stationwagon,9/11/2025,Wellington
CEF936,Silver,Ford,COURIER,2004,Utility,24/11/2025,Counties/Manukau
CEG316,White,Toyota,HILUX,2004,Utility,18/11/2025,Bay of Plenty
CEL430,Blue,BMW,740I,1998,Saloon,13/08/2025,Eastern
CEN964,Black,Nissan,TERRANO,1997,Stationwagon,17/11/2025,Canterbury
CEP301,White,Ford,COURIER,2004,Utility,14/11/2025,Waikato
CERO,Black,Nissan,SILVIA,1995,Saloon,20/09/2025,Waitemata
CFB53,Silver,Mazda,MAZDA6,2004,Saloon,2/10/2025,Eastern
CFJ248,White,Ford,COURIER,2004,Utility,15/09/2025,Waitemata
CFN517,Red,Nissan,TERRANO,1992,Stationwagon,5/09/2025,Canterbury
CFW931,Silver,Ford,COURIER,2004,Utility,31/07/2025,Counties/Manukau
CFZ423,Blue,Nissan,TERRANO,1993,Stationwagon,6/11/2025,Southern
CGB321,Red,Toyota,HILUX,2004,Utility,27/08/2025,Bay of Plenty
CGJ95,White,Ford,COURIER,2004,Utility,20/10/2025,Canterbury
CGN867,Blue,Holden,COMMODORE,2004,Saloon,19/11/2025,Auckland City
CGR43,White,Mazda,BOUNTY,2004,Utility,3/12/2025,Bay of Plenty
CGS988,Silver,Toyota,RAV4,2004,Stationwagon,18/08/2025,Counties/Manukau
CHARC,Grey,BMW,X3,2012,Stationwagon,29/11/2025,Northland
CHB376,Blue,Nissan,CIVILIAN,1992,Mobile Home - Light,3/10/2025,Waikato
CHT37,White,Mitsubishi,LEGNUM,1997,Stationwagon,8/07/2025,Counties/Manukau
CHVI52,Black,Holden,UTE,2008,Utility,20/08/2025,Canterbury
CJM979,Silver,Subaru,IMPREZA,2004,Stationwagon,13/10/2025,Wellington
CJN128,White,Mitsubishi,TRITON,2004,Utility,31/10/2025,Auckland City
CJR452,Black,Toyota,LANDCRUISER,1997,Stationwagon,31/10/2025,Canterbury
CJW457,Green,Toyota,HIACE,2004,Light Van,24/09/2025,Wellington
CJZ926,Silver,Mitsubishi,LANCER,1997,Saloon,3/08/2025,Waikato
CKA175,White,Ford,TRANSIT,2004,Light Bus,23/10/2025,Northland
CKB374,Green,Toyota,LANDCRUISER,1998,Stationwagon,27/07/2025,Bay of Plenty
CKQ270,White,Toyota,REGIUS,2000,Light Van,18/09/2025,Waitemata
CKU481,Green,Nissan,SERENA,1998,Stationwagon,9/09/2025,Counties/Manukau
CKZ799,Silver,Mazda,MAZDA6,2005,Saloon,6/07/2025,Northland
CKZ866,White,Ford,COURIER,2005,Utility,21/10/2025,Canterbury
CLG20,Silver,Ford,COURIER,2005,Utility,15/11/2025,Canterbury
CLG523,Silver,Ford,COURIER,2005,Utility,26/11/2025,Eastern
CLM141,Red,Honda,ODYSSEY,1999,Stationwagon,28/11/2025,Waikato
CLQ317,White,Mitsubishi,L300,2005,Light Van,27/11/2025,Counties/Manukau
CLQ657,White,Toyota,HIACE,1999,Light Van,10/06/2025,Canterbury
CLZ152,Black,Nissan,SAFARI,1996,Stationwagon,15/06/2025,Canterbury
CLZ919,Red,Holden,COMMODORE,2005,Saloon,10/09/2025,Wellington
CMG260,Blue,Holden,ASTRA,2005,Hatchback,5/12/2025,Auckland City
CML148,Blue,Toyota,STARLET,1997,Hatchback,6/11/2025,Wellington
CMS549,White,Ford,COURIER,2005,Utility,9/11/2025,Eastern
CMT129,Green,Toyota,LANDCRUISER,1996,Stationwagon,13/11/2025,Canterbury
CNB828,Green,Nissan,TERRANO,1995,Stationwagon,7/10/2025,Bay of Plenty
CNC870,Blue,Toyota,HILUX,1996,Stationwagon,14/08/2025,Waitemata
CNE181,Green,Toyota,LANDCRUISER,1995,Stationwagon,1/12/2025,Canterbury
CNF3,Silver,Mitsubishi,AIRTREK,2003,Stationwagon,30/09/2025,Tasman
CNK445,Silver,Toyota,ECHO,2005,Hatchback,12/10/2025,Counties/Manukau
CNL672,Blue,Toyota,PRADO,1996,Stationwagon,2/07/2025,Counties/Manukau
CONNA,Black,Toyota,MARKX,2007,Saloon,12/11/2025,Bay of Plenty
CPA280,Blue,Ford,COURIER,2005,Utility,20/11/2025,Wellington
CPE890,Green,Subaru,LEGACY,1998,Stationwagon,24/08/2025,Canterbury
CPL721,Silver,Toyota,ECHO,2005,Hatchback,15/09/2025,Bay of Plenty
CPP25,White,Toyota,COROLLA,2005,Stationwagon,30/09/2025,Northland
CPQ918,Blue,Toyota,HIACE,1997,Stationwagon,26/08/2025,Wellington
CPR92,Black,Hyundai,SONATA,2005,Saloon,5/12/2025,Waitemata
CPT321,Green,Mitsubishi,DELICA,1996,Light Van,28/11/2025,Auckland City
CPU157,Blue,Mitsubishi,COLT,2004,Hatchback,30/09/2025,Counties/Manukau
CQD212,Grey,Nissan,CEFIRO,1999,Saloon,11/07/2025,Waikato
CQL74,Silver,Nissan,SKYLINE,1996,Saloon,18/10/2025,Counties/Manukau
CQP457,White,Ford,COURIER,2005,Utility,26/10/2025,Northland
CQQ361,Silver,Ford,MONDEO,2005,Saloon,9/07/2025,Wellington
CQR57,Silver,Honda,CRV,1995,Stationwagon,1/10/2025,Waikato
CQS860,Brown,Toyota,HILUX,2005,Utility,29/10/2025,Bay of Plenty
CQU577,White,Ford,COURIER,2005,Utility,28/10/2025,Bay of Plenty
CQW463,Black,Isuzu,BIGHORN,1997,Stationwagon,4/07/2025,Auckland City
CQY464,Silver,Honda,ACCORD,2005,Saloon,5/12/2025,Eastern
CRC719,Blue,Holden,UTE,2005,Utility,7/11/2025,Canterbury
CRD558,Silver,Honda,ODYSSEY,2005,Light Van,21/10/2025,Waikato
CRF610,Silver,Ford,COURIER,2005,Utility,12/07/2025,Waitemata
CRQ144,Blue,Toyota,GRANVIA,1996,Stationwagon,26/11/2025,Canterbury
CRR610,Silver,Ford,COURIER,2005,Utility,6/11/2025,Northland
CRS234,Red,Nissan,TERRANO,1996,Stationwagon,30/09/2025,Canterbury
CRU765,Black,Ford,COURIER,2005,Utility,29/06/2025,Waikato
CRY781,White,Mazda,TITAN,1994,Other Truck,17/07/2025,Wellington
CRZ603,Red,Toyota,CAMRY,2005,Saloon,14/11/2025,Auckland City
CSH537,White,Toyota,CALDINA,1997,Stationwagon,26/09/2025,Canterbury
CSM917,Grey,Mazda,BOUNTY,2005,Utility,17/06/2025,Waikato
CSR550,Silver,Toyota,EXIV,1998,Saloon,31/10/2025,Canterbury
CSR624,White,Toyota,HIACE,2000,Light Van,28/11/2025,Counties/Manukau
CST719,Blue,Mitsubishi,DELICA,1994,Stationwagon,27/11/2025,Canterbury
CTA482,Black,Holden,ADVENTRA,2005,Stationwagon,6/10/2025,Eastern
CTC986,Black,Ford,FALCON,2005,Saloon,14/11/2025,Canterbury
CTF190,Green,Mini,COOPER,2005,Convertible,7/09/2025,Bay of Plenty
CTG7,White,Ford,COURIER,2004,Utility,13/08/2025,Canterbury
CTM996,Blue,Toyota,HILUX,1994,Stationwagon,10/07/2025,Auckland City
CTQ904,Red,Holden,VU UTILITY,2002,Utility,17/11/2025,Canterbury
CTR53,Green,Toyota,RAV4,1998,Stationwagon,24/06/2025,Waikato
CTR997,Green,Toyota,HILUX,1994,Stationwagon,7/06/2025,Waikato
CTU225,White,Mazda,BOUNTY,2005,Utility,6/11/2025,Northland
CUA150,Blue,Mazda,BOUNTY,2005,Utility,8/10/2025,Bay of Plenty
CUA279,Silver,Subaru,FORESTER,1999,Stationwagon,26/08/2025,Counties/Manukau
CUD419,Brown,Toyota,HILUX,2005,Utility,28/10/2025,Counties/Manukau
CUD683,White,Mitsubishi,L300,2005,Light Van,14/08/2025,Wellington
CUG102,Blue,Toyota,STARLET,1998,Hatchback,10/07/2025,Wellington
CUG984,White,Toyota,GRANVIA,2001,Stationwagon,12/11/2025,Wellington
CUH779,White,Toyota,RAV4,1999,Stationwagon,9/09/2025,Counties/Manukau
CUJ182,Black,Holden,AVALANCHE,2005,Stationwagon,14/07/2025,Canterbury
CUJ702,Silver,Ford,COURIER,2005,Utility,10/08/2025,Waikato
CUK580,Green,Toyota,HILUX,1997,Stationwagon,29/08/2025,Canterbury
CUP429,Black,Toyota,RAV4,1996,Stationwagon,29/07/2025,Bay of Plenty
CUT507,Silver,Ford,FIESTA,2005,Hatchback,10/09/2025,Counties/Manukau
CUT514,Red,Mazda,MAZDA3,2005,Saloon,24/08/2025,Waitemata
CUY335,Silver,Toyota,LANDCRUISER PRADO,2005,Stationwagon,24/10/2025,Central
CWB9,Silver,Mazda,FAMILIA,2000,Hatchback,17/07/2025,Waikato
CWK136,Grey,Nissan,TERRANO,1995,Stationwagon,9/11/2025,Canterbury
CWU542,Silver,Subaru,LEGACY,1999,Stationwagon,26/11/2025,Northland
CYC734,White,Toyota,HIACE,2005,Light Van,11/08/2025,Wellington
CYG105,Yellow,Peugeot,307,2002,Hatchback,27/11/2025,Counties/Manukau
CYP327,White,Nissan,CARAVAN,1996,Light Van,19/08/2025,Canterbury
CYP377,Silver,Land Rover,FREELANDER,2005,Stationwagon,18/08/2025,Northland
CYQ926,Blue,Toyota,HILUX,1997,Stationwagon,17/10/2025,Canterbury
CZH597,Green,Toyota,LANDCRUISER,1995,Stationwagon,19/09/2025,Canterbury
CZM235,White,Toyota,CAMRY,2005,Saloon,5/12/2025,Counties/Manukau
CZP645,Silver,Volkswagen,POLO,2005,Hatchback,9/07/2025,Waitemata
CZQ260,Blue,Toyota,HILUX,1993,Stationwagon,12/11/2025,Wellington
CZU752,Silver,Toyota,HILUX,2005,Utility,28/11/2025,Central
D192P,Silver,Kea,K844,2004,Trailer,17/06/2025,Counties/Manukau
D197D,Silver,Trailer,PRESCOTT,2004,Trailer - Heavy,26/07/2025,Waikato
D1ARJ,Black,PGO,ROUGHHOUSE,2025,Moped,22/09/2025,Waikato
D1AWQ,Yellow,Honda,NVS,2014,Moped,2/10/2025,Waitemata
D1CGB,Black,Forza,CICLONE,2025,Moped,25/07/2025,Canterbury
D1CGY,Black,Forza,CICLONE,2025,Moped,21/06/2025,Central
D1CMF,White,Honda,NVA,2025,Roadbike,17/08/2025,Counties/Manukau
D1DEN,Black,Yamaha,MT09A,2021,Roadbike,6/10/2025,Waitemata
D281U,Grey,Trailer,HOMEBUILT,2004,Trailer,15/09/2025,Waitemata
D2AAE,Orange,KTM,690,2020,Roadbike,17/08/2025,Bay of Plenty
D2BKP,Blue,Yamaha,MT07LA,2020,Roadbike,26/11/2025,Counties/Manukau
D2CGC,Orange,Forza,CICLONE,2025,Moped,21/10/2025,Canterbury
D3BMF,Purple,Yamaha,CV50,2007,Moped,3/09/2025,Canterbury
D3CEP,Grey,Honda,CBR,2022,Roadbike,6/09/2025,Auckland City
D3CGJ,Black,Suzuki,UZ50,2025,Moped,14/06/2025,Northland
D3CQS,Black,PGO,ROUGH HOUSE,2023,Moped,15/09/2025,Wellington
D490F,Grey,Trailer,FLATDECK,2003,Trailer,8/07/2025,Counties/Manukau
D4CSD,Grey,Yamaha,R1,2012,Roadbike,4/11/2025,Canterbury
D4DEU,Black,Suzuki,GSX-R750,2011,Roadbike,6/08/2025,Waitemata
D5ATE,Black,Piaggio,TYPHOON,2025,Moped,11/09/2025,Northland
D5CLB,Black,TNT Motor,ROMA SPORT,2025,Moped,9/09/2025,Canterbury
D5CTH,White,Moped,YB50QT-3,2025,Moped,1/12/2025,Waitemata
D5DCZ,Black,KTM,200,2021,Roadbike,29/11/2025,Counties/Manukau
D656K,Silver,Trailer,RACEWELL,2004,Trailer,7/07/2025,Waikato
D6AHP,Black,Factory Built,VIVA,2025,Moped,11/11/2025,Canterbury
D6AQJ,Silver,PGO,ROUGHHOUSE,2024,Moped,2/11/2025,Waikato
D6BML,Black,Kawasaki,EX,2018,Roadbike,28/07/2025,Canterbury
D6BWY,Blue,Hyosung,SFJOR,2004,Moped,13/06/2025,Eastern
D6CAN,Black,Suzuki,GSX250,2025,Roadbike,11/10/2025,Bay of Plenty
D6DBC,Grey,Indian,CHIEF,2025,Roadbike,3/11/2025,Central
D6DHT,Black,TNT Motor,ROMA,2022,Moped,18/07/2025,Canterbury
D7AGR,Orange,KTM,390,2017,Roadbike,26/08/2025,Wellington
D7AYA,Blue,TNT Motor,MOTORCYCLE,2018,Moped,12/08/2025,Wellington
D7BMW,Green,Kawasaki,EX,2025,Roadbike,1/07/2025,Wellington
D8BAN,Black,TNT Motor,ROMA,2025,Moped,28/08/2025,Bay of Plenty
D8BJJ,Blue,Vmoto,MONZA,2007,Moped,18/06/2025,Auckland City
D8CZK,Black,Harley Davidson,V-ROD,2014,Roadbike,2/11/2025,Northland
D9ADU,Black,TNT Motor,ROMA,2024,Moped,22/07/2025,Canterbury
DAC599,Silver,Subaru,IMPREZA,2001,Hatchback,2/08/2025,Waikato
DAF459,Green,Nissan,NAVARA,2005,Utility,16/08/2025,Canterbury
DAG243,White,Toyota,HIACE,1996,Light Van,5/09/2025,Auckland City
DAGZ,Black,CFMOTO,300SR,2021,Roadbike,10/08/2025,Waitemata
DAM678,Green,Toyota,LANDCRUISER,1997,Stationwagon,15/07/2025,Canterbury
DAP624,White,Ford,COURIER,2005,Utility,2/09/2025,Canterbury
DAT833,Grey,Toyota,HILUX,1996,Stationwagon,21/09/2025,Auckland City
DBB433,Green,Mazda,DEMIO,2003,Stationwagon,3/10/2025,Canterbury
DBD10,Grey,Honda,ACCORD,2006,Saloon,19/11/2025,Northland
DBE16,Orange,Suzuki,SWIFT,2006,Hatchback,8/10/2025,Waitemata
DBG663,Cream,Toyota,HIACE,1998,Stationwagon,29/07/2025,Wellington
DBH186,Black,Nissan,TINO,1999,Stationwagon,21/08/2025,Eastern
DBH364,Blue,Nissan,PATROL,2000,Stationwagon,15/08/2025,Waitemata
DBP633,Silver,Ford,FALCON,2005,Saloon,21/08/2025,Waitemata
DBQ308,Green,Toyota,LANDCRUISER,1996,Stationwagon,12/11/2025,Auckland City
DBU304,Black,Holden,ASTRA,2006,Hatchback,18/07/2025,Bay of Plenty
DBU522,Silver,Nissan,PULSAR,1998,Hatchback,26/11/2025,Auckland City
DBY20,White,Ford,COURIER,2005,Utility,2/09/2025,Northland
DCB252,Black,Holden,COMMODORE,2005,Saloon,25/08/2025,Counties/Manukau
DCN960,White,Nissan,NAVARA,2006,Utility,12/07/2025,Wellington
DCP3,Blue,Subaru,IMPREZA,2006,Saloon,5/08/2025,Waikato
DCS124,Blue,Toyota,SURF,1996,Stationwagon,9/06/2025,Waitemata
DDD208,Red,Holden,COMMODORE,2003,Saloon,26/10/2025,Eastern
DDL725,White,Toyota,HIACE,1996,Light Van,31/10/2025,Auckland City
DDM835,Silver,Subaru,IMPREZA,1996,Stationwagon,5/08/2025,Waitemata
DDP83,Grey,Nissan,MAXIMA,2006,Saloon,15/11/2025,Southern
DDQ899,Blue,Holden,COMMODORE,2006,Saloon,3/07/2025,Canterbury
DDW876,Grey,Toyota,LANDCRUISER,1992,Stationwagon,11/09/2025,Waitemata
DEB75,Green,Mazda,FAMILIA,1999,Stationwagon,2/09/2025,Eastern
DED290,Green,BMW,318,1998,Saloon,5/07/2025,Tasman
DEL531,Silver,Mazda,BOUNTY,2006,Utility,28/09/2025,Northland
DEL94,Silver,Mitsubishi,TRITON,2006,Utility,3/09/2025,Auckland City
DEM426,White,Isuzu,ELF,1998,Flat Deck Truck,28/08/2025,Bay of Plenty
DEP71,White,Ford,TRANSIT,2006,Heavy Van,26/11/2025,Counties/Manukau
DET207,Red,Nissan,TERRANO,1997,Stationwagon,7/06/2025,Canterbury
DET585,White,Mazda,BOUNTY,2006,Utility,13/08/2025,Northland
DFA140,Grey,Mazda,BOUNTY,2006,Utility,13/11/2025,Auckland City
DFF837,White,Mitsubishi,380,2006,Saloon,13/11/2025,Bay of Plenty
DFM125,Black,Nissan,PULSAR,1996,Hatchback,18/07/2025,Waitemata
DFM724,White,Ford,COURIER,2006,Utility,30/11/2025,Auckland City
DFQ720,Silver,Toyota,CARINA,1999,Saloon,3/12/2025,Wellington
DFS915,Silver,Toyota,LANDCRUISER,1997,Stationwagon,29/10/2025,Wellington
DFW195,White,Mazda,BOUNTY,2006,Utility,26/07/2025,Waikato
DFW847,Blue,Ford,COURIER,2006,Utility,20/08/2025,Counties/Manukau
DGB940,Silver,Toyota,HILUX,1996,Stationwagon,26/08/2025,Waitemata
DGE282,Silver,Toyota,CALDINA,2002,Stationwagon,27/08/2025,Waikato
DGG494,Silver,Holden,COMMODORE,2006,Saloon,23/11/2025,Eastern
DGU996,White,Ford,COURIER,2006,Utility,13/09/2025,Waikato
DGW928,Silver,Toyota,HILUX,2001,Utility,20/11/2025,Bay of Plenty
DGZ942,Green,Toyota,HILUX,1996,Stationwagon,21/11/2025,Counties/Manukau
DHC257,Silver,Toyota,PROGRES,2000,Saloon,17/11/2025,Waikato
DHF382,White,Toyota,HIACE,1998,Light Van,3/09/2025,Canterbury
DHK548,Gold,Holden,RODEO 4X2,2006,Utility,27/11/2025,Central
DHP426,Silver,Mazda,FAMILIA,1998,Hatchback,24/07/2025,Bay of Plenty
DHW543,White,Mazda,E2000,2006,Light Bus,4/09/2025,Central
DHY131,White,Toyota,HIACE,1997,Light Van,22/10/2025,Wellington
DHZ13,White,Mazda,BOUNTY,2006,Utility,9/06/2025,Waikato
DIGLTD,White,Toyota,HILUX,2005,Utility,23/11/2025,Canterbury
DJC888,Blue,Mazda,ATENZA,2003,Saloon,22/10/2025,Northland
DJE974,Silver,Nissan,NAVARA,2006,Utility,8/08/2025,Canterbury
DJF726,White,Ford,TRANSIT,2006,Heavy Van,31/07/2025,Auckland City
DJK920,Silver,Toyota,YARIS,2006,Saloon,28/08/2025,Counties/Manukau
DJL103,White,Ford,COURIER,2006,Utility,29/06/2025,Counties/Manukau
DJL520,Grey,Mazda,MAZDA6,2006,Saloon,10/11/2025,Bay of Plenty
DJP706,Green,Toyota,HILUX,2006,Utility,15/11/2025,Waikato
DJQ667,White,Ford,FALCON,2006,Saloon,22/07/2025,Bay of Plenty
DJQ785,Red,Toyota,HILUX,1995,Stationwagon,18/08/2025,Canterbury
DKA612,Red,Hyundai,TERRACAN,2006,Stationwagon,10/07/2025,Waikato
DKB298,Purple,Honda,DOMANI,1997,Saloon,5/12/2025,Canterbury
DKJ946,Silver,Toyota,LANDCRUISER,2003,Stationwagon,14/07/2025,Canterbury
DKK754,Red,Ford,COURIER,1999,Utility,26/10/2025,Central
DKL738,Grey,Hino,RANGER,1995,Flat Deck Truck,6/08/2025,Counties/Manukau
DKN143,Yellow,Mitsubishi,L300,2006,Light Van,5/07/2025,Counties/Manukau
DKP379,White,Toyota,HIACE,2006,Light Van,6/11/2025,Wellington
DKQ306,Blue,Toyota,HILUX,2006,Utility,8/11/2025,Southern
DKR725,Grey,Nissan,PRIMERA,1997,Hatchback,11/09/2025,Counties/Manukau
DKW859,Blue,Honda,JAZZ,2006,Hatchback,28/10/2025,Canterbury
DKZ579,Blue,Ford,FALCON,2006,Saloon,18/08/2025,Waikato
DLA944,Grey,Subaru,LEGACY,2006,Saloon,13/10/2025,Canterbury
DLC226,Gold,Subaru,LEGACY,2004,Stationwagon,29/09/2025,Canterbury
DLC831,White,Toyota,HILUX,2006,Utility,9/08/2025,Counties/Manukau
DLD472,Silver,Mitsubishi,PAJERO,1997,Stationwagon,5/08/2025,Auckland City
